"id" "group.id" "narc"
"90201" "90201" "2" 7
"90205" "90205" "2" 6
"90207" "90207" "2" 3
"90209" "90209" "2" 12
"90210" "90210" "2" 8
"90212" "90212" "2" 6
"90213" "90213" "2" 3
"90214" "90214" "2" 7
"90215" "90215" "2" 8
"90216" "90216" "2" 6
"90218" "90218" "2" 4
"90219" "90219" "2" 6
"90220" "90220" "2" 6
"90222" "90222" "2" 4
"90223" "90223" "2" 7
"90224" "90224" "2" 12
"90225" "90225" "2" 9
"90501" "90501" "5" 10
"90502" "90502" "5" 9
"90503" "90503" "5" 4
"90505" "90505" "5" 8
"90506" "90506" "5" 6
"90507" "90507" "5" 9
"90508" "90508" "5" 4
"90511" "90511" "5" 9
"90512" "90512" "5" 3
"90513" "90513" "5" 4
"90514" "90514" "5" 7
"90515" "90515" "5" 10
"90516" "90516" "5" 9
"90517" "90517" "5" 10
"90518" "90518" "5" 8
"90519" "90519" "5" 4
"90520" "90520" "5" 8
"90522" "90522" "5" 8
"90523" "90523" "5" 7
"90524" "90524" "5" 6
"90525" "90525" "5" 10
"90601" "90601" "6" 7
"90602" "90602" "6" 11
"90603" "90603" "6" 9
"90604" "90604" "6" 6
"90605" "90605" "6" 10
"90609" "90609" "6" 7
"90611" "90611" "6" 5
"90612" "90612" "6" 7
"90613" "90613" "6" 5
"90615" "90615" "6" 9
"90617" "90617" "6" 6
"90619" "90619" "6" 5
"90621" "90621" "6" 4
"90622" "90622" "6" 6
"90623" "90623" "6" 8
"90801" "90801" "8" 9
"90803" "90803" "8" 5
"90804" "90804" "8" 7
"90805" "90805" "8" 5
"90806" "90806" "8" 4
"90807" "90807" "8" 8
"90808" "90808" "8" 9
"90809" "90809" "8" 4
"90813" "90813" "8" 5
"90814" "90814" "8" 5
"90815" "90815" "8" 6
"90816" "90816" "8" 8
"90817" "90817" "8" 7
"90818" "90818" "8" 8
"90819" "90819" "8" 6
"90820" "90820" "8" 9
"90821" "90821" "8" 8
"90822" "90822" "8" 9
"90823" "90823" "8" 7
"90824" "90824" "8" 9
"90825" "90825" "8" 4
"90826" "90826" "8" 10
"90827" "90827" "8" 9
"90901" "90901" "9" 5
"90902" "90902" "9" 7
"90903" "90903" "9" 9
"90904" "90904" "9" 7
"90905" "90905" "9" 7
"90906" "90906" "9" 7
"90907" "90907" "9" 4
"90908" "90908" "9" 3
"90909" "90909" "9" 6
"90910" "90910" "9" 8
"90911" "90911" "9" 7
"90912" "90912" "9" 7
"90913" "90913" "9" 10
"90914" "90914" "9" 5
"90915" "90915" "9" 7
"90916" "90916" "9" 6
"90917" "90917" "9" 6
"90920" "90920" "9" 5
"90921" "90921" "9" 8
"90922" "90922" "9" 10
"90923" "90923" "9" 11
"90924" "90924" "9" 2
"90925" "90925" "9" 6
"91201" "91201" "12" 11
"91202" "91202" "12" 3
"91203" "91203" "12" 9
"91204" "91204" "12" 9
"91205" "91205" "12" 7
"91206" "91206" "12" 10
"91207" "91207" "12" 7
"91208" "91208" "12" 4
"91209" "91209" "12" 6
"91210" "91210" "12" 10
"91211" "91211" "12" 3
"91212" "91212" "12" 8
"91215" "91215" "12" 7
"91216" "91216" "12" 6
"91217" "91217" "12" 6
"91218" "91218" "12" 8
"91219" "91219" "12" 4
"91220" "91220" "12" 9
"91221" "91221" "12" 10
"91222" "91222" "12" 5
"91223" "91223" "12" 9
"91224" "91224" "12" 7
"91225" "91225" "12" 9
"91301" "91301" "13" 9
"91302" "91302" "13" 6
"91303" "91303" "13" 5
"91304" "91304" "13" 7
"91305" "91305" "13" 6
"91306" "91306" "13" 7
"91307" "91307" "13" 9
"91308" "91308" "13" 13
"91309" "91309" "13" 9
"91310" "91310" "13" 4
"91311" "91311" "13" 10
"91312" "91312" "13" 7
"91313" "91313" "13" 6
"91314" "91314" "13" 8
"91315" "91315" "13" 6
"91316" "91316" "13" 8
"91317" "91317" "13" 5
"91318" "91318" "13" 5
"91319" "91319" "13" 4
"91320" "91320" "13" 4
"91321" "91321" "13" 8
"91322" "91322" "13" 6
"91323" "91323" "13" 4
"91324" "91324" "13" 5
"91401" "91401" "14" 2
"91402" "91402" "14" 9
"91403" "91403" "14" 6
"91411" "91411" "14" 9
"91413" "91413" "14" 7
"91414" "91414" "14" 6
"91415" "91415" "14" 9
"91416" "91416" "14" 12
"91417" "91417" "14" 7
"91418" "91418" "14" 9
"91419" "91419" "14" 4
"91420" "91420" "14" 5
"91422" "91422" "14" 10
"91423" "91423" "14" 10
"91425" "91425" "14" 12
"91801" "91801" "18" 9
"91802" "91802" "18" 5
"91803" "91803" "18" 7
"91804" "91804" "18" 6
"91805" "91805" "18" 7
"91806" "91806" "18" 11
"91812" "91812" "18" 6
"91814" "91814" "18" 9
"91815" "91815" "18" 5
"91816" "91816" "18" 4
"91817" "91817" "18" 11
"91818" "91818" "18" 7
"91819" "91819" "18" 7
"91820" "91820" "18" 7
"91822" "91822" "18" 11
"91823" "91823" "18" 5
"91824" "91824" "18" 8
"92001" "92001" "20" 9
"92004" "92004" "20" 6
"92005" "92005" "20" 6
"92006" "92006" "20" 8
"92007" "92007" "20" 6
"92008" "92008" "20" 5
"92010" "92010" "20" 6
"92012" "92012" "20" 6
"92014" "92014" "20" 7
"92015" "92015" "20" 9
"92017" "92017" "20" 5
"92018" "92018" "20" 8
"92020" "92020" "20" 8
"92021" "92021" "20" 6
"92022" "92022" "20" 8
"92024" "92024" "20" 9
